name,url,delay_ms,width,height,codec,bitrate_kb,status
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=FoqTU6&tk=FgM0vQMejxvG,143,,,,0,有效
法治天地,http://iptv.666230.xyz/iptv/hnyx.php/fztx,43,,,,0,失败
内蒙文体,http://play1-qk.nmtv.cn/live/2319general.m3u8,313,,,,0,有效
XIETU星球——牛马加油站 准备中。。,https://live.ottiptv.cc/bilibili/21863017,542,,,,0,失败
我叫孙火旺,https://live.ottiptv.cc/douyu/9770949,1116,,,,0,有效
国学易学传统文化,https://live.ottiptv.cc/bilibili/360715,853,,,,0,失败
神探狄仁杰2,http://103.236.91.126:3366/live/lunbo/huya/hylive.php?id=29793925,229,,,,0,失败
鹦鹉问题进来聊哈,https://live.ottiptv.cc/bilibili/1789071908,635,,,,0,失败
千里不留行,https://live.ottiptv.cc/yy/1382736865,2182,,,,0,有效
郑源-曾经爱过你,http://txysong.mysoto.cc/songs/720/100009186.mkv,283,,,,0,失败
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009,737,,,,0,有效
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqca/cctv8hd.m3u8?auth=test20251009,10,,,,0,有效
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Mywp1d&tk=FgM0vQMejxvG,142,,,,0,有效
铁甲狂猴雷霆,https://live.ottiptv.cc/yy/1382735552,917,,,,0,有效
内蒙经济,http://play1-qk.nmtv.cn/live/2317general.m3u8,233,,,,0,有效
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8,4001,,,,0,失败
靖天戏剧,https://mao.ffmking888.dpdns.org/?id=6Z2W5aSp5oiy5YqH5Yaw&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89,104,,,,0,失败
靖天映画,https://litv.tzh911.qzz.io/litv.php?id=4gtv-4gtv055&token=https://t.me/GPT_858,4001,,,,0,失败
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8,4000,,,,0,失败
操作,https://live.ottiptv.cc/bilibili/1966811756,534,,,,0,失败
长春综合,http://stream2.jlntv.cn/jlcc/sd/live.m3u8,715,,,,0,有效
CCTV8电视剧,http://38.75.136.137:98/gslb/dsdqca/gxwshd.m3u8?auth=test20251009,9,,,,0,有效
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=vnmV78&tk=FgM0vQMejxvG,145,,,,0,有效
仓鼠大逃亡,https://live.ottiptv.cc/douyu/10354920,1607,,,,0,有效
小猴茶水间,https://live.ottiptv.cc/bilibili/11306199,525,,,,0,失败
朝阳新闻综合,http://120.76.248.139/live/bfgd/4200000282.m3u8,508,,,,0,有效
手忙脚乱的锅铲日常,https://live.ottiptv.cc/bilibili/1914110837,819,,,,0,失败
德惠综合,http://stream11.jlntv.cn/dehuitv/playlist.m3u8,867,,,,0,有效
像萤火虫一样用微光治愈精神内耗,https://live.ottiptv.cc/yy/1354930927,1245,,,,0,有效
羽毛球杀球发力公开课,https://live.ottiptv.cc/bilibili/1929350229,864,,,,0,失败
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=nbfaBO&tk=FgM0vQMejxvG,143,,,,0,有效
高雅学习中ing,https://live.ottiptv.cc/bilibili/27312432,523,,,,0,失败
小红在农村,https://live.ottiptv.cc/douyu/1492444,1608,,,,0,有效
公主岭综合,http://stream5.jlntv.cn/gzl/playlist.m3u8,673,,,,0,有效
辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8,312,,,,0,有效
CCTV8电视剧,http://107.150.60.122/live/cctv8hd.m3u8,215,,,,0,有效
靖天戏剧,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv058,851,,,,0,有效
亮亮也是酿酿,https://live.ottiptv.cc/douyu/4340136,1564,,,,0,有效
唐司令说电影,https://live.ottiptv.cc/douyu/8774345,1002,,,,0,有效
青海卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=KHXvvF&tk=FgM0vQMejxvG,143,,,,0,有效
窈窕奶爸反差萌翻，硬汉被迫营业,https://live.ottiptv.cc/yy/1382735581,923,,,,0,有效
呃啊 我要画大肌肉兽人,https://live.ottiptv.cc/bilibili/1465212,514,,,,0,失败
CCTV8电视剧,http://107.150.60.122/live/cctv8k.m3u8,155,,,,0,有效
辽宁公共,http://120.76.248.139/live/bfgd/4200000481.m3u8,198,,,,0,有效
九台区电视台,http://stream10.jlntv.cn/jiutaitv/playlist.m3u8,752,,,,0,有效
我是巴赫,https://live.ottiptv.cc/bilibili/27168615,1083,,,,0,失败
YY用户,https://live.ottiptv.cc/yy/1382745099,4002,,,,0,失败
双月之城,http://103.236.91.126:3366/live/lunbo/yy/yy4.php?id=1382736907,226,,,,0,失败
靖天戏剧,http://pullpackage.alivecdn.com/live/pU4fD0cP0dx6iXknYRcEzuZOQ6P6z5FsZ9KvAOPGsBry6iYBSe.flv,4001,,,,0,失败
巅峰救援行动,https://live.ottiptv.cc/yy/1382736857,1113,,,,0,有效
蓝星人一ET,https://live.ottiptv.cc/douyu/9431727,1491,,,,0,有效
30年模型店 工作室开张模型售卖代工维修,https://live.ottiptv.cc/bilibili/15129276,562,,,,0,失败
以茶会友，以杯谈心,https://live.ottiptv.cc/bilibili/1880728054,1062,,,,0,失败
青海卫视,http://223.247.25.219:1234/947472506,211,,,,0,失败
CCTV8电视剧,http://192.151.150.154/live/cctv8hd.m3u8,156,,,,0,有效
榆树综合,http://stream11.jlntv.cn/yushuds/sd/live.m3u8,961,,,,0,有效
靖天戏剧,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv,4001,,,,0,失败
农安综合,http://stream2.jlntv.cn/naxw/playlist.m3u8,308,,,,0,有效
郑源-披着羊皮的狼,http://txysong.mysoto.cc/songs/720/100008710.mkv,53,,,,0,失败
辽宁公共,http://dassby.qqff.top:99/live/辽宁公共/index.m3u8,641,,,,0,有效
长夜危机,https://live.ottiptv.cc/yy/1382736893,922,,,,0,有效
新人小画师，听歌画画。,https://live.ottiptv.cc/bilibili/1921302428,827,,,,0,失败
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-13.m3u8,4001,,,,0,失败
这反差萌让猫奴顶不住,https://live.ottiptv.cc/yy/1354930984,4001,,,,0,失败
青海卫视,http://117.63.79.182:1234/947472506,201,,,,0,失败
拉磨,https://live.ottiptv.cc/bilibili/1743352078,529,,,,0,失败
菠萝说电影,https://live.ottiptv.cc/douyu/3714736,1643,,,,0,有效
辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8,314,,,,0,有效
CCTV8电视剧,http://198.204.228.26/live/cctv8hd.m3u8,104,,,,0,有效
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-17.ctv,4001,,,,0,失败
双阳综合,http://stream11.jlntv.cn/shuangyang/playlist.m3u8,267,,,,0,有效
电影漩涡,https://live.ottiptv.cc/douyu/8706350,1069,,,,0,有效
周星星-电影,http://tv.zimtv.cn/tv/player/api/huya.php?id=11336587,496,,,,0,有效
唐门双雄战神犼,https://live.ottiptv.cc/yy/1382736897,1335,,,,0,有效
稿！时刻想摸鱼版,https://live.ottiptv.cc/bilibili/7389118,1074,,,,0,失败
辽宁北方,http://dassby.qqff.top:99/live/辽宁北方/index.m3u8,221,,,,0,有效
青海卫视,http://118.193.115.2:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,468,,,,0,有效
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-9.ctv,4000,,,,0,失败
电脑自己画画,https://live.ottiptv.cc/bilibili/23638756,1043,,,,0,失败
靖天戏剧,https://stream1.freetv.fun/jing-tian-xi-ju-1.m3u8,4001,,,,0,失败
CCTV8电视剧,http://198.204.228.26/live/cctv8k.m3u8,106,,,,0,有效
女汉子说电影,https://live.ottiptv.cc/douyu/9395966,1333,,,,0,有效
......,https://live.ottiptv.cc/bilibili/23076029,513,,,,0,失败
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-29.m3u8,4001,,,,0,失败
靖天戏剧,https://stream1.freetv.fun/jing-tian-xi-ju-3.m3u8,4000,,,,0,失败
致命伴旅,https://live.ottiptv.cc/yy/1382736852,1453,,,,0,有效
CCTV8电视剧,http://173.208.212.130:8181/720p/cctv8k.m3u8,122,,,,0,有效
辽宁北方,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnbf,214,,,,0,有效
晨工,https://live.ottiptv.cc/bilibili/4455711,1268,,,,0,失败
青海卫视,http://116.52.173.236:1234/947472506,735,,,,0,失败
偷偷告诉你ta在想什么,https://live.ottiptv.cc/bilibili/26429448,534,,,,0,失败
海森堡事件录,https://live.ottiptv.cc/douyu/9754849,1473,,,,0,有效
吉林市综合,http://stream2.jlntv.cn:80/jilin1/sd/live.m3u8,291,,,,0,有效
痞子殿下（普通话）,https://live.ottiptv.cc/yy/1382736869,1121,,,,0,有效
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-5.ctv,4001,,,,0,失败
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8,198,,,,0,有效
靖天戏剧,https://stream1.freetv.fun/jing-tian-xi-ju-4.m3u8,4001,,,,0,失败
辽宁影视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnys,106,,,,0,有效
CCTV8电视剧,http://173.208.212.130:8181/1080p/cctv8.m3u8,109,,,,0,有效
白鹿原,http://tv.zimtv.cn/tv/player/api/huya.php?id=11342416,4001,,,,0,失败
伪装者,http://103.236.91.126:3366/live/lunbo/yy/yy4.php?id=1354936244,243,,,,0,失败
画会画,https://live.ottiptv.cc/bilibili/10915035,858,,,,0,失败
孟庭苇-化身为海,http://txysong.mysoto.cc/songs/60021597.mkv,53,,,,0,失败
沸点,https://live.ottiptv.cc/yy/1354926622,1060,,,,0,有效
世界上最他妈恶心的游戏,https://live.ottiptv.cc/bilibili/29003190,545,,,,0,失败
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-4.ctv,4001,,,,0,失败
新三农老姚桃子熟了你的专属农场,https://live.ottiptv.cc/bilibili/30713755,1065,,,,0,失败
靖天戏剧,https://stream1.freetv.fun/jing-tian-xi-ju-5.m3u8,4001,,,,0,失败
辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8,198,,,,0,有效
青海卫视,http://110.154.192.90:7788/947472506,280,,,,0,失败
CCTV8电视剧,http://112.30.73.119:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0,323,,,,0,有效
17号说动漫,https://live.ottiptv.cc/douyu/9822277,2072,,,,0,有效
离谱！我被自己追杀了,https://live.ottiptv.cc/yy/1382745092,1034,,,,0,有效
四叶草影视,https://live.ottiptv.cc/douyu/9446117,1422,,,,0,有效
郑源-歌中故事,http://txysong.mysoto.cc/songs/720/100010319.mkv,53,,,,0,失败
厉害了,https://live.ottiptv.cc/bilibili/31433132,865,,,,0,失败
白鹿原,http://103.236.91.126:3366/live/lunbo/huya/hylive.php?id=11342416,271,,,,0,失败
经典电影,https://tv.iill.top/4gtv/201,2897,,,,0,失败
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-24.m3u8,4000,,,,0,失败
经典电影,http://goo.bkpcp.top/mg/jdxgdy,4001,,,,0,失败
吉林市综合,https://living.muzhifm.com/jilinshi/jilin_zonghe_v.m3u8?auth_key=1837821685-0-0-67b43a2f1e9e2ce78746337eea2b2537,4001,,,,0,失败
第一财经,http://[2409:8087:5e00:24::2d]:6610/000000001000/1/5000000010000027146/index.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=3,0,,,,0,失败
CCTV8电视剧,http://112.30.73.119:9901/tsfile/live/1424_1.m3u8?key=txiptv&playlive=0&authid=0,162,,,,0,失败
辽宁影视剧,http://dassby.qqff.top:99/live/辽宁影视剧/index.m3u8,221,,,,0,有效
自学,https://live.ottiptv.cc/bilibili/8318506,534,,,,0,失败
兔子陪伴，绝不会下地的沙发兔,https://live.ottiptv.cc/bilibili/1731717381,526,,,,0,失败
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-28.m3u8,4002,,,,0,失败
纯人累画画,https://live.ottiptv.cc/bilibili/11659277,1057,,,,0,失败
户外老曹,https://live.ottiptv.cc/douyu/9957389,795,,,,0,有效
穆杉车话,https://live.ottiptv.cc/douyu/9602107,1493,,,,0,有效
青海卫视,http://120.198.86.186:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0,421,,,,0,有效
辽宁教育青少,http://120.76.248.139/live/bfgd/4200000075.m3u8,315,,,,0,有效
皮皮虾总裁也太沙雕了,https://live.ottiptv.cc/yy/1354936210,977,,,,0,有效
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-1.ctv,4001,,,,0,失败
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-2.ctv,4001,,,,0,失败
延边卫视,http://live.ybtvyun.com/video/s10006-d48b8590849c/index.m3u8,4001,,,,0,失败
声音治愈，陪读不易，今晚和你好好聊聊,https://live.ottiptv.cc/bilibili/1838245277,806,,,,0,失败
AAA兮师傅纯手工作画,https://live.ottiptv.cc/bilibili/1421271,526,,,,0,失败
青海卫视,http://112.234.22.76:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,445,,,,0,有效
珲春电视台,http://stream8.jlntv.cn/hctv/playlist.m3u8,842,,,,0,有效
辽宁教育青少,http://dassby.qqff.top:99/live/辽宁教育青少/index.m3u8,222,,,,0,有效
第一财经,http://ls.qingting.fm/live/276.m3u8,1251,,,,0,有效
生活时尚,https://stream1.freetv.fun/sheng-huo-shi-shang-2.ctv,4001,,,,0,失败
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-9.ctv,4000,,,,0,失败
延边汉语综合,http://live.ybtvyun.com/video/s10006-3860092d4729/index.m3u8,4000,,,,0,失败
网友咸几几,https://live.ottiptv.cc/douyu/2174405,1464,,,,0,有效
画稿猫,https://live.ottiptv.cc/bilibili/25897838,822,,,,0,失败
CCTV8电视剧,http://f.123.rr.kg/163189/cctv8,892,,,,0,有效
CCTV8电视剧,http://45.192.97.170:8880/play/9.m3u8,2418,,,,0,有效
体验另一种生活！,https://live.ottiptv.cc/yy/1354936229,1673,,,,0,有效
画画很开心的对吧对的Day258,https://live.ottiptv.cc/bilibili/22768094,535,,,,0,失败
图们TV1,http://stream6.jlntv.cn/tm/playlist.m3u8,654,,,,0,有效
辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8,198,,,,0,有效
护卫者守护真情,https://live.ottiptv.cc/yy/1382735627,4000,,,,0,失败
青海卫视,http://27.12.12.174:1234/947472506,4001,,,,0,失败
经典电影,https://mursor.ottiptv.cc/bilibili/1777481601,59,,,,0,失败
青海卫视,http://183.234.143.5:9902/tsfile/live/1112_1.m3u8?key=txiptv&playlive=0&authid=0,466,,,,0,有效
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-8.ctv,4001,,,,0,失败
粉红女郎,http://103.236.91.126:3366/live/lunbo/yy/yy4.php?id=1354888671,215,,,,0,失败
延吉综合,http://stream6.jlntv.cn/yj/playlist.m3u8,288,,,,0,有效
延边新闻综合,http://live.ybtvyun.com/video/s10006-4fe8b057eb3b/index.m3u8,4000,,,,0,失败
黄渤-电影,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352876,424,,,,0,有效
青海卫视,http://107.150.60.122/live/qhws.m3u8,167,,,,0,有效
第一财经,https://live.lalifeier.eu.org/kankanews/dycj.m3u8?t=1746393735&key=7b164ddded8a7d9ea3ba4a8d86999077,619,,,,0,失败
辽宁生活,http://dassby.qqff.top:99/live/辽宁生活/index.m3u8,221,,,,0,有效
画着画着就睡着了,https://live.ottiptv.cc/bilibili/8992606,569,,,,0,失败
【新v】早上好呀 我在等你,https://live.ottiptv.cc/bilibili/1778464560,834,,,,0,失败
有个精灵闺蜜是种什么神仙体验,https://live.ottiptv.cc/yy/1354889015,1105,,,,0,有效
CCTV8电视剧,http://120.48.113.49:6006/624878356,937,,,,0,失败
郑源-让过去成为过去,http://txysong.mysoto.cc/songs/62071257.mkv,54,,,,0,失败
第一财经,https://live.lalifeier.eu.org/kankanews/dycj.m3u8?t=1746379256&key=e6deaa8fc1e0662447be8f3b7c649f70,272,,,,0,失败
白城新闻综合,http://stream2.jlntv.cn/baicheng1/sd/live.m3u8,293,,,,0,有效
经典电影,https://yylunbo.ottiptv.cc/yy/1414812324,320,,,,0,失败
辽宁生活,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnsh,107,,,,0,有效
香港卫视,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=xianggangweishi&P2PChannelID=pd://cctv_p2p_hdxianggangweishi,335,,,,0,有效
流心影者,https://live.ottiptv.cc/douyu/9447717,1777,,,,0,有效
关注后弹幕投喂猫狗,https://live.ottiptv.cc/bilibili/21156724,519,,,,0,失败
CCTV8电视剧,http://111.8.242.142:9999/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0,461,,,,0,有效
你是我的荣耀,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352920,725,,,,0,有效
第一财经,https://live.lalifeier.eu.org/kankanews/dycj.m3u8?t=1746292937&key=8dbd6113ce0541e6b92e8f47782ef1f6,236,,,,0,失败
上课,https://live.ottiptv.cc/bilibili/396521,1025,,,,0,失败
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-15.ctv,4001,,,,0,失败
看十四天之暖春来如何治愈严冬,https://live.ottiptv.cc/yy/1354936154,1362,,,,0,有效
CCTV8电视剧,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=7641ec47b2d136a8fe776d57b48116,1317,,,,0,失败
IPTV经典电影,http://183.220.107.138:4022/rtp/239.10.0.122:5140,442,,,,0,有效
xiaoxiao1004,https://live.ottiptv.cc/douyu/2569874,1560,,,,0,有效
辽宁经济,http://120.76.248.139/live/bfgd/4200000076.m3u8,198,,,,0,有效
第一财经,https://live.lalifeier.eu.org/kankanews/dycj.m3u8?t=1746307365&key=7477fec974c356ed2cf91be43a1dc893,203,,,,0,失败
人鱼,https://live.ottiptv.cc/yy/1382745178,1249,,,,0,有效
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8,502,,,,0,有效
人体肌肉讲解,https://live.ottiptv.cc/bilibili/21938797,1029,,,,0,失败
大安新闻综合,http://stream6.jlntv.cn/da/playlist.m3u8,937,,,,0,有效
洮南综合,http://stream5.jlntv.cn/tn/playlist.m3u8,289,,,,0,有效
XCin888,https://live.ottiptv.cc/douyu/3617935,1553,,,,0,有效
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv,233,,,,0,失败
勇闯三角洲,https://live.ottiptv.cc/bilibili/27314337,548,,,,0,失败
《加你更奇妙》今日开售！,https://live.ottiptv.cc/bilibili/1931028202,800,,,,0,失败
辽宁经济,http://120.76.248.139/live/bfgd/4200000480.m3u8,378,,,,0,有效
好饿啊 找知道不学画画了,https://live.ottiptv.cc/bilibili/22328796,1229,,,,0,失败
第一财经,http://yc.myds.me:35455/itv/5000000010000027146.m3u8?cdn=bestzb,4001,,,,0,失败
通榆综合,http://stream6.jlntv.cn/ty/playlist.m3u8,304,,,,0,有效
国际吸猫协会,https://live.ottiptv.cc/douyu/8657834,843,,,,0,有效
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-1.ctv,4004,,,,0,失败
逐梦电影,https://live.ottiptv.cc/douyu/4058285,1520,,,,0,有效
疯狂电影人2带你解锁无厘头拍戏,https://live.ottiptv.cc/yy/1354932426,1675,,,,0,有效
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0,223,,,,0,失败
纪实人文,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010067/1.m3u8,0,,,,0,失败
辽宁经济,http://dassby.qqff.top:99/live/辽宁经济/index.m3u8,221,,,,0,有效
随便聊聊,https://live.ottiptv.cc/bilibili/316202,512,,,,0,失败
CCTV8电视剧,http://218.206.193.218:8888/hls/8/index.m3u8,1531,,,,0,有效
杀机四伏,https://live.ottiptv.cc/yy/1354936195,1182,,,,0,有效
一个画画的,https://live.ottiptv.cc/bilibili/22003328,1038,,,,0,失败
鹊刀门传奇,http://103.236.91.126:3366/live/lunbo/yy/yy4.php?id=29805872,250,,,,0,失败
镇赉综合,http://stream6.jlntv.cn/zl/playlist.m3u8,292,,,,0,有效
CCTV9纪录,http://mg.cttv.vip/673168140$LR•IPV4•29『线路1』,603,,,,0,失败
陈情令,http://tv.zimtv.cn/tv/player/api/huya.php?id=29465862,457,,,,0,有效
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0,223,,,,0,失败
辽宁都市,http://120.76.248.139/live/bfgd/4200000068.m3u8,198,,,,0,有效
主播，你人体怎么稀烂啊？,https://live.ottiptv.cc/bilibili/400885,530,,,,0,失败
二十几岁，没有老婆，无儿无女，一个人发呆,https://live.ottiptv.cc/bilibili/23578899,853,,,,0,失败
天映经典,https://hls-gateway.vpstv.net/streams/709488.m3u8,124,,,,0,失败
郑源-比心更痛的眼眸,http://txysong.mysoto.cc/songs/60010386.mkv,53,,,,0,失败
你是我的荣耀,http://103.236.91.126:3366/live/lunbo/huya/hylive.php?id=11352920,237,,,,0,失败
松原综合,http://stream2.jlntv.cn/sytv/playlist.m3u8,322,,,,0,有效
CCTV9纪录,http://2280.eu.org:1234/673168140$LR•IPV4•29『线路2』,573,,,,0,有效
懂懂1234,https://live.ottiptv.cc/douyu/8729614,1566,,,,0,有效
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639,212,,,,0,失败
欢喜冤家宜解不宜结,https://live.ottiptv.cc/yy/1382736853,1538,,,,0,有效
CCTV9纪录,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub$LR•IPV4•29『线路3』,20,,,,0,有效
辽宁都市,http://120.76.248.139/live/bfgd/4200000610.m3u8,198,,,,0,有效
卧室救助猫猫养家,https://live.ottiptv.cc/bilibili/1944495153,526,,,,0,失败
上磨，给doro农场修个鸡窝,https://live.ottiptv.cc/bilibili/7204477,821,,,,0,失败
在悬崖边缘狂舞,https://live.ottiptv.cc/yy/1382749910,1135,,,,0,有效
松原公共,http://stream8.jlntv.cn/sytv2/playlist.m3u8,361,,,,0,有效
帅气百搭的双肩包在这里,https://live.ottiptv.cc/bilibili/1900548535,517,,,,0,失败
电影七十二变,https://live.ottiptv.cc/douyu/9323164,1827,,,,0,有效
天映经典,https://epg.pw/stream/cb817875cf26eb683af274dd8cdf7f559a71353d9565c32447c8d98894bc8095.ctv,717,,,,0,有效
CCTV9纪录,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009$LR•IPV4•29『线路4』,9,,,,0,有效
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8,206,,,,0,失败
先聊以前，觉得OK，再聊以后,https://live.ottiptv.cc/bilibili/1746146095,866,,,,0,失败
都市剧场,https://hls-gateway.vpstv.net/streams/708845.m3u8,14,,,,0,失败
辽宁都市,http://dassby.qqff.top:99/live/辽宁都市/index.m3u8,222,,,,0,有效
CCTV8电视剧,http://223.167.230.155:4022/rtp/239.45.1.71:5140,3311,,,,0,失败
百战英雄,https://live.ottiptv.cc/yy/1354936199,1388,,,,0,有效
沉郁观影,https://live.ottiptv.cc/douyu/9393577,1559,,,,0,有效
天映经典,http://tl.061833.xyz/tl/null-1,346,,,,0,失败
天映经典,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8,4001,,,,0,失败
